InventoryID,ProductID,QuantityOnHand,ReorderLevel,LastSyncedAt
INV-001,PRD-001,144,24,09/05/2026 08:00
INV-002,PRD-002,96,12,09/05/2026 08:00
INV-003,PRD-003,120,20,09/05/2026 08:00
INV-004,PRD-004,200,30,09/05/2026 08:00
INV-005,PRD-005,80,15,09/05/2026 08:00
INV-006,PRD-006,52,10,09/05/2026 08:00
INV-007,PRD-007,45,10,09/05/2026 08:00
INV-008,PRD-008,60,12,09/05/2026 08:00
INV-009,PRD-009,35,8,09/05/2026 08:00
INV-010,PRD-010,30,8,09/05/2026 08:00
INV-011,PRD-011,75,15,09/05/2026 08:00
INV-012,PRD-012,50,10,09/05/2026 08:00
INV-013,PRD-013,40,8,09/05/2026 08:00
INV-014,PRD-014,15,5,09/05/2026 08:00
INV-015,PRD-015,28,6,09/05/2026 08:00
