OrderItemID,OrderID,ProductID,Quantity,UnitPrice,Subtotal
OI-001,ORD-001,PRD-003,3,8,24
OI-002,ORD-001,PRD-011,2,14.5,29
OI-003,ORD-001,PRD-008,4,5,20
OI-004,ORD-001,PRD-013,1,14,14
OI-005,ORD-002,PRD-001,6,12.5,75
OI-006,ORD-002,PRD-013,2,22,44
OI-007,ORD-002,PRD-004,1,5.5,5.5
OI-008,ORD-003,PRD-006,4,6.5,26
OI-009,ORD-003,PRD-008,3,5,15
OI-010,ORD-003,PRD-009,2,4,8
OI-011,ORD-003,PRD-004,2,5.5,10
OI-012,ORD-004,PRD-014,1,65,65
OI-013,ORD-004,PRD-015,2,32,64
OI-014,ORD-004,PRD-005,6,5,30
OI-015,ORD-004,PRD-010,3,18,54
OI-016,ORD-005,PRD-011,2,14.5,29
OI-017,ORD-005,PRD-003,1,8,8
OI-018,ORD-005,PRD-009,2,4,8
OI-019,ORD-005,PRD-007,1,7,7
OI-020,ORD-006,PRD-002,4,13,52
OI-021,ORD-006,PRD-012,2,12,24
OI-022,ORD-006,PRD-008,2,5,10
OI-023,ORD-006,PRD-009,3,4,12
OI-024,ORD-007,PRD-001,4,12.5,50
OI-025,ORD-007,PRD-013,2,22,44
OI-026,ORD-007,PRD-011,2,14.5,29
OI-027,ORD-007,PRD-008,2,5,10
OI-028,ORD-007,PRD-004,2,5.5,11
OI-029,ORD-007,PRD-007,1,7,7
OI-030,ORD-008,PRD-015,1,32,32
OI-031,ORD-008,PRD-006,3,6.5,19.5
OI-032,ORD-008,PRD-010,1,18,18
OI-033,ORD-008,PRD-009,2,4,8
OI-034,ORD-009,PRD-014,2,65,130
OI-035,ORD-009,PRD-015,1,32,32
OI-036,ORD-009,PRD-012,1,12,12
OI-037,ORD-009,PRD-010,1,18,18
